Country name,Life evaluation (3-year average)
Finland,7.736
Denmark,7.521
Iceland,7.515
Sweden,7.345
Netherlands,7.306
Costa Rica,7.274
Norway,7.262
Israel,7.234
Luxembourg,7.122
Mexico,6.979
